Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Doctor_Link,Description
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,https://www.verywellhealth.com/what-is-a-dermatologist-4686011,"A dermatologist specializes in diagnosing and treating skin conditions, including reactions to medications."
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,https://www.mayoclinic.org/diseases-conditions/malaria/symptoms-causes/syc-20301699,An infectious disease specialist can provide expert care for malaria and related conditions.
Allergy,apply calamine,cover area with bandage,,use ice to compress itching,https://www.aafa.org/allergist/,Allergists specialize in diagnosing and treating allergic reactions and conditions.
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,https://www.thyroid.org/what-is-an-endocrinologist/,"An endocrinologist specializes in hormonal disorders, including thyroid issues."
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,https://www.psoriasis.org/,Dermatologists treat psoriasis and other skin conditions and can provide comprehensive management plans.
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,https://www.healthline.com/health/gerd/gastroenterologist,"A gastroenterologist specializes in conditions affecting the digestive system, including GERD."
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,https://www.healthline.com/health/chronic-cholestasis,A gastroenterologist can help manage liver and gallbladder conditions like cholestasis.
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,https://www.cdc.gov/hepatitis/hav/index.htm,An infectious disease specialist can provide care for viral hepatitis A.
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,https://www.healthline.com/health/osteoarthritis,"Rheumatologists specialize in joint disorders, including osteoarthritis."
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,https://www.ninds.nih.gov/health-information/patient-care/what-vertigo,A neurologist can help diagnose and treat conditions related to vertigo.
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,https://www.healthline.com/health/hypoglycemia,"An endocrinologist specializes in hormone-related conditions, including blood sugar issues."
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,https://www.aad.org/public/diseases/acne,Dermatologists specialize in skin conditions like acne.
Diabetes ,have balanced diet,exercise,consult doctor,follow up,https://www.diabetes.org/,"An endocrinologist focuses on hormonal disorders, including diabetes management."
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,https://www.aad.org/public/diseases/contagious-skin-conditions/impetigo,Dermatologists treat skin infections like impetigo.
Hypertension ,meditation,salt baths,reduce stress,get proper sleep,https://www.heart.org/en/health-topics/high-blood-pressure,Cardiologists specialize in diagnosing and managing high blood pressure.
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,https://www.mayoclinic.org/diseases-conditions/peptic-ulcer/symptoms-causes/syc-20347863,Gastroenterologists can help manage and treat peptic ulcers.
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,https://www.nhs.uk/conditions/haemorrhoids/,"Colorectal surgeons specialize in treating conditions affecting the rectum and anus, including hemorrhoids."
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,https://www.healthline.com/health/cold,Primary care physicians can help manage symptoms of the common cold.
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,https://www.cdc.gov/chickenpox/index.html,"Pediatricians specialize in childhood illnesses, including chickenpox."
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,https://www.healthline.com/health/cervical-spondylosis,"Orthopedic specialists treat spinal conditions, including cervical spondylosis."
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,https://www.thyroid.org/hyperthyroidism/,"An endocrinologist specializes in thyroid disorders, including hyperthyroidism."
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,https://www.urologyhealth.org/urologic-conditions/urinary-tract-infection,Urologists specialize in urinary tract conditions and can provide targeted treatments.
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,https://www.venousinstitute.com/,Phlebologists specialize in treating varicose veins and other venous disorders.
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,https://www.cdc.gov/hiv/basics/livingwithhiv/index.html,Infectious disease specialists can provide comprehensive care for individuals living with AIDS.
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,https://www.ninds.nih.gov/,Neurologists specialize in brain injuries and can provide rehabilitation services.
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,https://www.cdc.gov/typhoid-fever/index.html,Infectious disease specialists can diagnose and treat typhoid fever.
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,https://www.hepatitisb.uw.edu/,"Hepatologists specialize in liver diseases, including hepatitis B."
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,https://www.aad.org/public/diseases/fungal-infections,Dermatologists treat fungal infections affecting the skin and nails.
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,https://www.hepatitis.va.gov/,Hepatologists can provide care for hepatitis C patients.
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,https://www.americanmigrainefoundation.org/,Neurologists specialize in treating migraines and other headache disorders.
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,https://www.aafa.org/asthma/,Pulmonologists specialize in respiratory conditions like asthma.
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6484114/,Gastroenterologists can help manage alcoholic hepatitis and liver diseases.
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,https://www.ncbi.nlm.nih.gov/books/NBK44915/,Hepatologists specialize in liver function and jaundice management.
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,https://www.cdc.gov/hepatitis/hepe/index.html,Infectious disease specialists can provide care for hepatitis E.
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,https://www.cdc.gov/dengue/index.html,Infectious disease specialists treat dengue and related viral infections.
Hepatitis D,consult doctor,medication,eat healthy,follow up,https://www.hepatitisb.uw.edu/,Hepatologists can provide specialized care for hepatitis D.
Heart attack,call ambulance,chew or swallow asprin,keep calm,,https://www.heart.org/en/health-topics/heart-attack,"Cardiologists specialize in heart conditions, including heart attacks."
Pneumonia,consult doctor,medication,rest,follow up,https://www.mayoclinic.org/diseases-conditions/pneumonia/symptoms-causes/syc-20383283,Pulmonologists can diagnose and treat pneumonia and other lung conditions.
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,https://www.rheumatology.org/,"Rheumatologists specialize in joint disorders, including various forms of arthritis."
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,https://www.mayoclinic.org/diseases-conditions/gastroenteritis/symptoms-causes/syc-20370353,Gastroenterologists can treat gastroenteritis and related digestive issues.
Tuberculosis,cover mouth,consult doctor,medication,rest,https://www.cdc.gov/tb/topic/basics/default.htm,"Pulmonologists specialize in respiratory diseases, including tuberculosis."
